instrument,date,dow,day_open,day_close,day_high,day_low,prev_close,pdh,pdl,gap_pct,gap_type,gap_bucket,inside_day,outside_day,prev_inside,broke_pdh,broke_pdl,broke_pd_both,broke_pd_none,broke_pd_first,first15_bull,first30_bull,first60_bull,orb_high,orb_low,orb_range,orb_close,orb_close_above_mid,orb_close_loc,orb_first_side,orb_high_break,orb_low_break,orb_both_break,orb_one_side,orb_no_break,orb_break_first,orb_break_count,orb_up_ext,orb_dn_ext,orb_up_retr,orb_dn_retr,ib_high,ib_low,ib_range,ib_close,ib_close_above_mid,ib_close_loc,ib_first_side,ib_high_break,ib_low_break,ib_both_break,ib_one_side,ib_no_break,ib_break_first,ib_break_count,ib_up_ext,ib_dn_ext,ib_up_retr,ib_dn_retr
NIFTY 50,2015-02-26,Thursday,8779.0,8681.85,8783.6,8669.85,8772.7998046875,8840.5,8751.650390625,0.07100000232458115,Flat,0 to +0.2%,False,False,False,False,True,False,False,pdl,False,False,False,8783.6,8742.3,41.3,8756.9,False,0.3535,high,False,True,False,True,False,low,1,-0.6344,1.7543,,0.3425999879837036,8783.6,8734.15,49.45,8747.8,False,0.276,high,False,True,False,True,False,low,1,-0.5490000247955322,1.3003000020980835,,0.45100000500679016
NIFTY 50,2015-02-27,Friday,8729.5,8850.0,8853.9,8717.6,8681.849609375,8783.599609375,8669.849609375,0.5490000247955322,Gap Up,+0.5% to +1%,False,False,False,True,False,False,False,pdh,True,True,True,8757.25,8723.2,34.05,8737.95,False,0.4332,high,True,True,True,False,False,low,2,2.8385,0.1645,0.1234000027179718,3.8385000228881836,8757.25,8722.95,34.3,8736.0,False,0.3805,high,True,True,True,False,False,low,2,2.8178000450134277,0.15600000321865082,0.12250000238418579,3.8178000450134277
NIFTY 50,2015-02-28,Saturday,8913.05,8904.2,8940.8,8751.6,8850.0,8853.900390625,8717.599609375,0.7120000123977661,Gap Up,+0.5% to +1%,False,False,False,True,False,False,False,pdh,False,False,False,8919.15,8896.0,23.15,8905.35,False,0.4039,high,True,True,True,False,False,high,2,0.9352,6.2375,7.237500190734863,1.9351999759674072,8919.55,8895.75,23.8,8908.35,True,0.5294,high,True,True,True,False,False,low,2,0.8928999900817871,6.05679988861084,7.05679988861084,1.892899990081787
NIFTY 50,2015-03-02,Monday,8954.6,8959.5,8971.7,8885.65,8904.2001953125,8940.7998046875,8751.599609375,0.5659999847412109,Gap Up,+0.5% to +1%,False,False,False,True,False,False,False,pdh,False,True,True,8960.45,8923.4,37.05,8937.8,False,0.3887,high,True,True,True,False,False,high,2,0.3036,1.0189,2.018899917602539,1.0958000421524048,8969.2,8923.4,45.8,8960.4,True,0.8079,low,True,True,True,False,False,high,2,0.05460000038146973,0.8241999745368958,1.8242000341415405,0.8865000009536743
NIFTY 50,2015-03-03,Tuesday,8962.85,8991.8,9008.25,8925.7,8959.5,8971.7001953125,8885.650390625,0.03700000047683716,Flat,0 to +0.2%,False,False,False,True,False,False,False,pdh,False,False,False,8962.85,8925.7,37.15,8933.9,False,0.2207,high,True,False,False,True,False,high,1,1.2221,-0.1777,0.6958000063896179,,8963.4,8925.7,37.7,8952.3,True,0.7056,low,True,False,False,True,False,high,1,1.1895999908447266,-0.299699991941452,0.7002999782562256,
NIFTY 50,2015-03-04,Wednesday,9109.15,8917.7,9117.3,8894.5,8991.7998046875,9008.25,8925.7001953125,1.3049999475479126,Gap Up,> +1%,False,True,False,True,True,True,False,pdh,False,False,False,9117.3,9067.5,49.8,9069.05,False,0.0311,high,False,True,False,True,False,low,1,-0.6446,3.4739,,0.3553999960422516,9117.3,9059.9,57.4,9081.15,False,0.3702,high,False,True,False,True,False,low,1,-0.6044999957084656,2.8815999031066895,,0.2029999941587448
NIFTY 50,2015-03-05,Thursday,8929.4,8949.8,8957.35,8849.45,8917.7001953125,9117.2998046875,8894.5,0.13099999725818634,Flat,0 to +0.2%,False,False,False,False,True,False,False,pdl,True,False,False,8948.5,8917.85,30.65,8943.85,True,0.8483,low,True,True,True,False,False,high,2,0.2887,2.2316,3.231600046157837,1.288699984550476,8948.6,8892.65,55.95,8918.45,False,0.4611,high,True,True,True,False,False,low,2,0.15639999508857727,0.7720999717712402,0.1242000013589859,1.1563999652862549
NIFTY 50,2015-03-09,Monday,8877.3,8747.1,8877.3,8747.1,8949.7998046875,8957.349609375,8849.4501953125,-0.8100000023841858,Gap Down,-0.5% to -1%,False,False,False,False,True,False,False,pdl,False,False,False,8877.3,8823.0,54.3,8829.3,False,0.116,high,False,True,False,True,False,low,1,-0.7219,1.3978,,0.27810001373291016,8877.3,8803.7,73.6,8818.85,False,0.2058,high,False,True,False,True,False,low,1,-0.6453999876976013,0.7689999938011169,,0.3546000123023987
NIFTY 50,2015-03-10,Tuesday,8769.75,8718.9,8777.95,8677.6,8747.099609375,8877.2998046875,8747.099609375,0.2590000033378601,Gap Up,+0.2% to +0.5%,False,False,False,False,True,False,False,pdl,False,False,False,8769.75,8734.8,34.95,8751.75,False,0.485,high,True,True,True,False,False,low,2,0.2346,1.6366,2.6366000175476074,1.2345999479293823,8769.75,8725.4,44.35,8734.15,False,0.1973,high,True,True,True,False,False,high,2,0.18490000069141388,1.0778000354766846,2.0778000354766846,0.1216999962925911
NIFTY 50,2015-03-11,Wednesday,8728.75,8692.25,8755.3,8688.1,8718.900390625,8777.9501953125,8677.599609375,0.11299999803304672,Flat,0 to +0.2%,True,False,False,False,False,False,True,none,True,False,True,8740.6,8714.95,25.65,8735.55,True,0.8031,low,True,True,True,False,False,low,2,0.5731,1.0468,2.046799898147583,1.573099970817566,8744.5,8714.6,29.9,8739.65,True,0.8378,low,True,True,True,False,False,high,2,0.3612000048160553,0.8863000273704529,1.886299967765808,1.361199975013733
